<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q22111>	Borgomanero
<http://www.wikidata.org/entity/Q253395>	Bella Akhmadulina
<http://www.wikidata.org/entity/Q1190>	Limousin
<http://www.wikidata.org/entity/Q47125>	Avezzano
<http://www.wikidata.org/entity/Q191476>	David Ferrer
<http://www.wikidata.org/entity/Q244509>	Kigoma
<http://www.wikidata.org/entity/Q244372>	Eurasian pygmy shrew
<http://www.wikidata.org/entity/Q186478>	Luca Toni
<http://www.wikidata.org/entity/Q191114>	Sita
<http://www.wikidata.org/entity/Q159124>	Michurinsk
<http://www.wikidata.org/entity/Q210093>	Motril
<http://www.wikidata.org/entity/Q298305>	Jorge Valdano
<http://www.wikidata.org/entity/Q20483>	Monteleone di Spoleto
<http://www.wikidata.org/entity/Q49663>	Balzers
<http://www.wikidata.org/entity/Q84072>	Turkish people
<http://www.wikidata.org/entity/Q30548>	Hrazdan River
<http://www.wikidata.org/entity/Q62337>	Vanadzor
<http://www.wikidata.org/entity/Q213285>	Castelsarrasin
<http://www.wikidata.org/entity/Q486778>	Boris Gelfand
<http://www.wikidata.org/entity/Q270153>	Jesse Spencer
<http://www.wikidata.org/entity/Q212064>	Channing Tatum
<http://www.wikidata.org/entity/Q360268>	Huaibei
<http://www.wikidata.org/entity/Q360178>	Huainan
<http://www.wikidata.org/entity/Q68614>	Sanming
<http://www.wikidata.org/entity/Q68534>	Nanping
<http://www.wikidata.org/entity/Q271705>	Eudorcas thomsonii
<http://www.wikidata.org/entity/Q24848>	Alagna Valsesia
<http://www.wikidata.org/entity/Q314342>	David O. Russell
<http://www.wikidata.org/entity/Q200848>	South-Chinese tiger
<http://www.wikidata.org/entity/Q465986>	Eurasian water shrew
<http://www.wikidata.org/entity/Q107602>	cursor
<http://www.wikidata.org/entity/Q311804>	Ben Foster
<http://www.wikidata.org/entity/Q934037>	Panicum
<http://www.wikidata.org/entity/Q209705>	Roskilde Cathedral
<http://www.wikidata.org/entity/Q147402>	Zapopan
<http://www.wikidata.org/entity/Q17500>	Xavi heranandez Amaya
<http://www.wikidata.org/entity/Q228789>	Lena Headey
<http://www.wikidata.org/entity/Q192744>	Limoux
<http://www.wikidata.org/entity/Q131615>	Lake Starnberg
<http://www.wikidata.org/entity/Q490776>	Ventimiglia di Sicilia
<http://www.wikidata.org/entity/Q254829>	Collioure
<http://www.wikidata.org/entity/Q188528>	Stari Most
<http://www.wikidata.org/entity/Q109428>	Diego Ribas da Cunha
<http://www.wikidata.org/entity/Q36844>	Rihanna
<http://www.wikidata.org/entity/Q49605>	Montecatini Terme
<http://www.wikidata.org/entity/Q33563>	Khanty
<http://www.wikidata.org/entity/Q44298>	Bastian Schweinsteiger
<http://www.wikidata.org/entity/Q243114>	Hauteville-Lompnes
<http://www.wikidata.org/entity/Q285884>	Alpine marmot
<http://www.wikidata.org/entity/Q156802>	Paolo Guerrero
<http://www.wikidata.org/entity/Q33759>	Mansi
<http://www.wikidata.org/entity/Q38927>	Maoming
<http://www.wikidata.org/entity/Q202117>	Sergei Stanishev
<http://www.wikidata.org/entity/Q70550>	Per Mertesacker
<http://www.wikidata.org/entity/Q217291>	Blanford's fox
<http://www.wikidata.org/entity/Q244546>	Moustiers-Sainte-Marie
<http://www.wikidata.org/entity/Q30565>	Melfi
<http://www.wikidata.org/entity/Q800122>	Bago
<http://www.wikidata.org/entity/Q815726>	solidarity
<http://www.wikidata.org/entity/Q34871>	Brusson
<http://www.wikidata.org/entity/Q139743>	Zelenodolsk
<http://www.wikidata.org/entity/Q527496>	Emperor
<http://www.wikidata.org/entity/Q35784>	Al Bayda
<http://www.wikidata.org/entity/Q229197>	Lisa Edelstein
<http://www.wikidata.org/entity/Q960124>	Ocimum tenuiflorum
<http://www.wikidata.org/entity/Q28979>	Jixi
<http://www.wikidata.org/entity/Q682571>	Kano State
<http://www.wikidata.org/entity/Q6858>	Bad Oeynhausen
<http://www.wikidata.org/entity/Q63676>	Arne Friedrich
<http://www.wikidata.org/entity/Q42274>	Google Earth
<http://www.wikidata.org/entity/Q243101>	Nemi
<http://www.wikidata.org/entity/Q208713>	Ixelles
<http://www.wikidata.org/entity/Q72946>	Forest / Vorst
<http://www.wikidata.org/entity/Q203312>	Uccle
<http://www.wikidata.org/entity/Q272262>	Watermael-Boitsfort / Watermaal-Bosvoorde
<http://www.wikidata.org/entity/Q712450>	Ralph Waite
<http://www.wikidata.org/entity/Q12767>	Tabula Peutingeriana
<http://www.wikidata.org/entity/Q145717>	Kem
<http://www.wikidata.org/entity/Q204895>	Júlio Baptista
<http://www.wikidata.org/entity/Q484662>	Wentworth Miller
<http://www.wikidata.org/entity/Q12977>	Lloret de Mar
<http://www.wikidata.org/entity/Q295219>	Lodine
<http://www.wikidata.org/entity/Q213548>	Pteridium aquilinum
<http://www.wikidata.org/entity/Q199961>	flag of Transnistria
<http://www.wikidata.org/entity/Q209816>	emblem of Tajikistan
<http://www.wikidata.org/entity/Q15173>	lip
<http://www.wikidata.org/entity/Q206621>	drag
<http://www.wikidata.org/entity/Q81016>	Maiori
<http://www.wikidata.org/entity/Q221436>	Maiduguri
<http://www.wikidata.org/entity/Q4591>	Cape Verdean escudo
<http://www.wikidata.org/entity/Q341600>	Cirsium arvense
<http://www.wikidata.org/entity/Q188332>	Alcmaeon of Croton
<http://www.wikidata.org/entity/Q38358>	Perrito
<http://www.wikidata.org/entity/Q493136>	Bilal ibn Ribah
<http://www.wikidata.org/entity/Q192227>	linguistic purism
<http://www.wikidata.org/entity/Q1075023>	Chitwan National Park
<http://www.wikidata.org/entity/Q101685>	Treviglio
<http://www.wikidata.org/entity/Q202304>	Jason Segel
<http://www.wikidata.org/entity/Q311910>	Marcus Berg
<http://www.wikidata.org/entity/Q212962>	Ainhoa
<http://www.wikidata.org/entity/Q213071>	Elva
<http://www.wikidata.org/entity/Q228871>	Carla Gugino
<http://www.wikidata.org/entity/Q482788>	Gümüşhane Province
<http://www.wikidata.org/entity/Q81150>	Uvs Lake
<http://www.wikidata.org/entity/Q199458>	Chelonia mydas
<http://www.wikidata.org/entity/Q615>	Lionel Messi
<http://www.wikidata.org/entity/Q970717>	Kathmandu Valley
<http://www.wikidata.org/entity/Q6102450>	list of chemical elements
<http://www.wikidata.org/entity/Q10729319>	list of Prime Ministers of the United Kingdom
<http://www.wikidata.org/entity/Q54731>	Ricadi
<http://www.wikidata.org/entity/Q217466>	Sakarya River
<http://www.wikidata.org/entity/Q200192>	Moroccan dirham
<http://www.wikidata.org/entity/Q271623>	Psocoptera
<http://www.wikidata.org/entity/Q58592>	Daniel Brühl
<http://www.wikidata.org/entity/Q230609>	Ashley Benson
<http://www.wikidata.org/entity/Q1127320>	Central Italy
<http://www.wikidata.org/entity/Q201987>	flag of Somaliland
<http://www.wikidata.org/entity/Q848672>	Manokwari
<http://www.wikidata.org/entity/Q217048>	Baptism of Jesus
<http://www.wikidata.org/entity/Q498256>	Bauska
<http://www.wikidata.org/entity/Q64093>	Le Locle
<http://www.wikidata.org/entity/Q167607>	James Comey
<http://www.wikidata.org/entity/Q7050>	Weinheim
<http://www.wikidata.org/entity/Q11657>	Maria Kirilenko
<http://www.wikidata.org/entity/Q54747>	Tropea
<http://www.wikidata.org/entity/Q1071098>	Frode Johnsen
<http://www.wikidata.org/entity/Q188147>	Kunar
<http://www.wikidata.org/entity/Q95142>	Tresigallo
<http://www.wikidata.org/entity/Q381733>	Uberaba
<http://www.wikidata.org/entity/Q154586>	Levon Aronian
<http://www.wikidata.org/entity/Q489898>	Nukus
<http://www.wikidata.org/entity/Q202322>	Beqaa Valley
<http://www.wikidata.org/entity/Q196925>	Usolye-Sibirskoye
<http://www.wikidata.org/entity/Q220515>	The Pursuit of Happyness
<http://www.wikidata.org/entity/Q994811>	FC Red Bull Salzburg
<http://www.wikidata.org/entity/Q382548>	Ales, Sardinia
<http://www.wikidata.org/entity/Q179530>	Papilio machaon
<http://www.wikidata.org/entity/Q144345>	Kansk
<http://www.wikidata.org/entity/Q189380>	Patristics
<http://www.wikidata.org/entity/Q7333405>	Vĩnh Long
<http://www.wikidata.org/entity/Q43682>	Philipp Lahm
<http://www.wikidata.org/entity/Q200381>	Javan tiger
<http://www.wikidata.org/entity/Q130585>	Supernatural
<http://www.wikidata.org/entity/Q17686>	Tortona
<http://www.wikidata.org/entity/Q327591>	independent politician
<http://www.wikidata.org/entity/Q163666>	Pepe Reina
<http://www.wikidata.org/entity/Q193710>	Ne-Yo
<http://www.wikidata.org/entity/Q320308>	Vandœuvre-lès-Nancy
<http://www.wikidata.org/entity/Q26076>	Irrawaddy River
<http://www.wikidata.org/entity/Q98967>	Nizhny Tagil
<http://www.wikidata.org/entity/Q3376141>	Pantheon
<http://www.wikidata.org/entity/Q20143>	Bettona
<http://www.wikidata.org/entity/Q8577>	2012 Summer Olympics
<http://www.wikidata.org/entity/Q38991>	Tosa
<http://www.wikidata.org/entity/Q98995>	Volzhsky
<http://www.wikidata.org/entity/Q183002>	Surgut
<http://www.wikidata.org/entity/Q196489>	Sterlitamak
<http://www.wikidata.org/entity/Q340610>	Talana
<http://www.wikidata.org/entity/Q172657>	Nizhnekamsk
<http://www.wikidata.org/entity/Q184147>	Prokopyevsk
<http://www.wikidata.org/entity/Q193384>	cosmic dust
<http://www.wikidata.org/entity/Q192904>	Havířov
<http://www.wikidata.org/entity/Q206116>	Gebze
<http://www.wikidata.org/entity/Q485365>	Bear Grylls
<http://www.wikidata.org/entity/Q172190>	London Stadium
<http://www.wikidata.org/entity/Q241298>	Albenga
<http://www.wikidata.org/entity/Q474876>	Namangan Region
<http://www.wikidata.org/entity/Q487089>	Fergana Region
<http://www.wikidata.org/entity/Q46325>	Sfax
<http://www.wikidata.org/entity/Q22669>	UEFA Euro 2012
<http://www.wikidata.org/entity/Q215138>	Mount Fitz Roy
<http://www.wikidata.org/entity/Q1043065>	Carlos Mencia
<http://www.wikidata.org/entity/Q487547>	Sirdaryo Region
<http://www.wikidata.org/entity/Q220335>	William Fichtner
<http://www.wikidata.org/entity/Q487585>	Tashkent Region
<http://www.wikidata.org/entity/Q56057>	Microhylidae
<http://www.wikidata.org/entity/Q487537>	Surxondaryo Region
<http://www.wikidata.org/entity/Q487577>	Qashqadaryo Region
<http://www.wikidata.org/entity/Q10818>	7 July 2005 London bombings
<http://www.wikidata.org/entity/Q583485>	Schwaz
<http://www.wikidata.org/entity/Q336250>	Lienz
<http://www.wikidata.org/entity/Q2229029>	Hiromi Hara
<http://www.wikidata.org/entity/Q187572>	Zell am See
<http://www.wikidata.org/entity/Q380690>	Akira Kaji
<http://www.wikidata.org/entity/Q211684>	Barfleur
<http://www.wikidata.org/entity/Q183104>	Feldkirch
<http://www.wikidata.org/entity/Q487532>	Samarqand Region
<http://www.wikidata.org/entity/Q487372>	Bukhara Region
<http://www.wikidata.org/entity/Q487570>	Navoiy Region
<http://www.wikidata.org/entity/Q146400>	Solanum nigrum
<http://www.wikidata.org/entity/Q298347>	Nicholas Hoult
<http://www.wikidata.org/entity/Q189796>	weather front
<http://www.wikidata.org/entity/Q12444>	Königswinter
<http://www.wikidata.org/entity/Q487561>	Xorazm Region
<http://www.wikidata.org/entity/Q127471>	Ashley Tisdale
<http://www.wikidata.org/entity/Q492552>	Namangan
<http://www.wikidata.org/entity/Q103789>	Arzamas
<http://www.wikidata.org/entity/Q274193>	Cap-d'Ail
<http://www.wikidata.org/entity/Q235114>	Super League Greece
<http://www.wikidata.org/entity/Q81212>	Pepin the Short
<http://www.wikidata.org/entity/Q64077>	Wil
<http://www.wikidata.org/entity/Q218380>	Cesare Prandelli
<http://www.wikidata.org/entity/Q111048>	Veliky Ustyug
<http://www.wikidata.org/entity/Q40834>	Mortara
<http://www.wikidata.org/entity/Q2253352>	David A. R. White
<http://www.wikidata.org/entity/Q273469>	FINA World Aquatics Championships
<http://www.wikidata.org/entity/Q329888>	Allies
<http://www.wikidata.org/entity/Q215669>	Allies
<http://www.wikidata.org/entity/Q311212>	Paraceratherium
<http://www.wikidata.org/entity/Q1211183>	Shigatse
<http://www.wikidata.org/entity/Q106881>	Monica Vitti
<http://www.wikidata.org/entity/Q36106>	Ligurian
<http://www.wikidata.org/entity/Q754776>	Kremnica
<http://www.wikidata.org/entity/Q327977>	Kežmarok
<http://www.wikidata.org/entity/Q11409>	apartheid
<http://www.wikidata.org/entity/Q4044>	Offenburg
<http://www.wikidata.org/entity/Q161211>	Setaria italica
<http://www.wikidata.org/entity/Q201044>	Coat of arms of Moldova
<http://www.wikidata.org/entity/Q186267>	Argali
<http://www.wikidata.org/entity/Q20427>	Deruta
<http://www.wikidata.org/entity/Q460431>	Nicholas Winton
<http://www.wikidata.org/entity/Q13133>	Michelle Obama
<http://www.wikidata.org/entity/Q68297>	Sierre
<http://www.wikidata.org/entity/Q189741>	Melvin Schwartz
<http://www.wikidata.org/entity/Q190495>	Henry Way Kendall
<http://www.wikidata.org/entity/Q210836>	Úrvalsdeild
<http://www.wikidata.org/entity/Q10512>	Elche CF
<http://www.wikidata.org/entity/Q192708>	Robert Coleman Richardson
<http://www.wikidata.org/entity/Q489215>	Oberhof
<http://www.wikidata.org/entity/Q19771>	G20
<http://www.wikidata.org/entity/Q335238>	Rahul Bose
<http://www.wikidata.org/entity/Q846025>	Mahajanapada
<http://www.wikidata.org/entity/Q242454>	Zemfira
<http://www.wikidata.org/entity/Q849967>	Celtic Britons
<http://www.wikidata.org/entity/Q68305>	Wetzikon
<http://www.wikidata.org/entity/Q378513>	Željko Petrović
<http://www.wikidata.org/entity/Q159528>	Eucalyptus globulus
<http://www.wikidata.org/entity/Q485385>	Bullet for My Valentine
<http://www.wikidata.org/entity/Q9348>	Parmigianino
<http://www.wikidata.org/entity/Q159704>	Patricia Kaas
<http://www.wikidata.org/entity/Q54898>	San Cristóbal de La Laguna
<http://www.wikidata.org/entity/Q360531>	Mahershalalhashbaz Ali
<http://www.wikidata.org/entity/Q331099>	Island of Mozambique
<http://www.wikidata.org/entity/Q211516>	Võrtsjärv
<http://www.wikidata.org/entity/Q34008>	Selkup
<http://www.wikidata.org/entity/Q36743>	Nganasan
<http://www.wikidata.org/entity/Q208079>	side-striped jackal
<http://www.wikidata.org/entity/Q208943>	Bagnolet
<http://www.wikidata.org/entity/Q208407>	Oloron-Sainte-Marie
<http://www.wikidata.org/entity/Q33328>	Finnic languages
<http://www.wikidata.org/entity/Q486991>	Aschersleben
<http://www.wikidata.org/entity/Q430988>	Alessandria della Rocca
<http://www.wikidata.org/entity/Q385139>	Ahl al-Bayt
<http://www.wikidata.org/entity/Q193589>	Platonism
<http://www.wikidata.org/entity/Q715044>	Athletics at the Summer Olympics
<http://www.wikidata.org/entity/Q83857>	Great Hungarian Plain
<http://www.wikidata.org/entity/Q192797>	elite
<http://www.wikidata.org/entity/Q202141>	Criminal Minds
<http://www.wikidata.org/entity/Q142845>	National emblem of Indonesia
<http://www.wikidata.org/entity/Q331850>	short-eared dog
<http://www.wikidata.org/entity/Q147128>	Edible dormouse
<http://www.wikidata.org/entity/Q207148>	Hazel dormouse
<http://www.wikidata.org/entity/Q189134>	Uşak
<http://www.wikidata.org/entity/Q80734>	Campagna
<http://www.wikidata.org/entity/Q54614>	Gioia Tauro
<http://www.wikidata.org/entity/Q135686>	Yeniseysk
<http://www.wikidata.org/entity/Q47138>	Encarnación
<http://www.wikidata.org/entity/Q503936>	Bauchi State
<http://www.wikidata.org/entity/Q682704>	Edo State
<http://www.wikidata.org/entity/Q130626>	Borno State
<http://www.wikidata.org/entity/Q878284>	Kaduna State
<http://www.wikidata.org/entity/Q464953>	Kwara State
<http://www.wikidata.org/entity/Q836645>	Nasarawa State
<http://www.wikidata.org/entity/Q503905>	Oyo State
<http://www.wikidata.org/entity/Q503941>	Sokoto State
<http://www.wikidata.org/entity/Q16603>	Artigas Department
<http://www.wikidata.org/entity/Q16577>	Canelones Department
<http://www.wikidata.org/entity/Q16575>	Cerro Largo Department
<http://www.wikidata.org/entity/Q16591>	Durazno Department
<http://www.wikidata.org/entity/Q460435>	Lavalleja Department
<http://www.wikidata.org/entity/Q309442>	Paysandú
<http://www.wikidata.org/entity/Q16576>	Paysandú Department
<http://www.wikidata.org/entity/Q335506>	Salto
<http://www.wikidata.org/entity/Q16595>	Salto Department
<http://www.wikidata.org/entity/Q16579>	San José Department
<http://www.wikidata.org/entity/Q646498>	Rivera
<http://www.wikidata.org/entity/Q16609>	Rivera Department
<http://www.wikidata.org/entity/Q16587>	Tacuarembó Department
<http://www.wikidata.org/entity/Q16610>	Treinta y Tres Department
<http://www.wikidata.org/entity/Q826566>	Riohacha
<http://www.wikidata.org/entity/Q199479>	Solomon Sea
<http://www.wikidata.org/entity/Q832036>	Pampas fox
<http://www.wikidata.org/entity/Q910358>	Spartium junceum
<http://www.wikidata.org/entity/Q487796>	Moldovans
<http://www.wikidata.org/entity/Q193989>	Geirangerfjord
<http://www.wikidata.org/entity/Q193712>	São Tomé and Príncipe dobra
<http://www.wikidata.org/entity/Q30963>	Kingston
<http://www.wikidata.org/entity/Q171453>	Transformers
<http://www.wikidata.org/entity/Q1148004>	Aedes aegypti
<http://www.wikidata.org/entity/Q216828>	cohesion
<http://www.wikidata.org/entity/Q322994>	Dryopteris filix-mas
<http://www.wikidata.org/entity/Q6845>	Elmshorn
<http://www.wikidata.org/entity/Q456624>	Ambala
<http://www.wikidata.org/entity/Q94979>	Pianoro
<http://www.wikidata.org/entity/Q461557>	Karun
<http://www.wikidata.org/entity/Q215389>	Zemgale
<http://www.wikidata.org/entity/Q4531>	Soltaniyeh
<http://www.wikidata.org/entity/Q48472>	Konye-Urgench
<http://www.wikidata.org/entity/Q44309>	Daniel Van Buyten
<http://www.wikidata.org/entity/Q154053>	Eintracht Braunschweig
<http://www.wikidata.org/entity/Q44181>	Anatoliy Tymoshchuk
<http://www.wikidata.org/entity/Q91341>	Pienza
<http://www.wikidata.org/entity/Q48952>	Persian Wikipedia
<http://www.wikidata.org/entity/Q91217>	Montepulciano
<http://www.wikidata.org/entity/Q184228>	Žilina Region
<http://www.wikidata.org/entity/Q183640>	Banská Bystrica Region
<http://www.wikidata.org/entity/Q186295>	Košice Region
<http://www.wikidata.org/entity/Q736668>	Shkumbin
<http://www.wikidata.org/entity/Q41754>	Ghost Rider
<http://www.wikidata.org/entity/Q323819>	Albanian Orthodox Church
<http://www.wikidata.org/entity/Q842402>	Hindu temple
<http://www.wikidata.org/entity/Q104559>	Balakhna
<http://www.wikidata.org/entity/Q385923>	Alcúdia
<http://www.wikidata.org/entity/Q205447>	Ocean's Eleven
<http://www.wikidata.org/entity/Q769160>	Grande-Synthe
<http://www.wikidata.org/entity/Q1043104>	Charlie Hebdo
<http://www.wikidata.org/entity/Q770740>	SD Eibar
<http://www.wikidata.org/entity/Q359990>	Wuhu
<http://www.wikidata.org/entity/Q240719>	Keshm
<http://www.wikidata.org/entity/Q42793>	Crema
<http://www.wikidata.org/entity/Q727267>	Westfjords
<http://www.wikidata.org/entity/Q3241556>	David Kaufman
<http://www.wikidata.org/entity/Q192243>	Struve Geodetic Arc
<http://www.wikidata.org/entity/Q750307>	Albizia julibrissin
<http://www.wikidata.org/entity/Q6502151>	tax evasion
<http://www.wikidata.org/entity/Q94997>	Sasso Marconi
<http://www.wikidata.org/entity/Q216871>	Yellow-necked Mouse
<http://www.wikidata.org/entity/Q270163>	tennis at the Summer Olympics
<http://www.wikidata.org/entity/Q192190>	holly
<http://www.wikidata.org/entity/Q508013>	Whiskered bat
<http://www.wikidata.org/entity/Q723123>	Natterer's bat
<http://www.wikidata.org/entity/Q214869>	Serotine bat
<http://www.wikidata.org/entity/Q27098>	European plaice
<http://www.wikidata.org/entity/Q60960>	tail
<http://www.wikidata.org/entity/Q129211>	cage
<http://www.wikidata.org/entity/Q298976>	Bert van Marwijk
<http://www.wikidata.org/entity/Q162959>	Blake Lively
<http://www.wikidata.org/entity/Q190010>	St. Jakob-Park
<http://www.wikidata.org/entity/Q115382>	Bayamo
<http://www.wikidata.org/entity/Q210487>	Chania Regional Unit
<http://www.wikidata.org/entity/Q487971>	Bad Reichenhall
<http://www.wikidata.org/entity/Q209113>	North Channel
<http://www.wikidata.org/entity/Q193818>	hip
<http://www.wikidata.org/entity/Q580480>	Liberty Stadium
<http://www.wikidata.org/entity/Q625107>	thermonuclear weapon
<http://www.wikidata.org/entity/Q229908>	Katie Cassidy
<http://www.wikidata.org/entity/Q37400>	Naypyidaw
<http://www.wikidata.org/entity/Q46887>	Harry Potter and the Half-Blood Prince
<http://www.wikidata.org/entity/Q318686>	Radviliškis
<http://www.wikidata.org/entity/Q949746>	Cox's Bazar
<http://www.wikidata.org/entity/Q126683>	Saiga antelope
<http://www.wikidata.org/entity/Q244674>	Benedict Cumberbatch
<http://www.wikidata.org/entity/Q30767>	Caroline Wozniacki
<http://www.wikidata.org/entity/Q207677>	Vaygach Island
<http://www.wikidata.org/entity/Q161728>	Potamogeton
<http://www.wikidata.org/entity/Q207669>	Hungarian pengő
<http://www.wikidata.org/entity/Q295498>	Henry Cavill
<http://www.wikidata.org/entity/Q131685>	Criss Angel
<http://www.wikidata.org/entity/Q16697>	Manresa
<http://www.wikidata.org/entity/Q21018>	Tönning
<http://www.wikidata.org/entity/Q105838>	Marion Bartoli
<http://www.wikidata.org/entity/Q153380>	Kineshma
<http://www.wikidata.org/entity/Q58905>	Teano
<http://www.wikidata.org/entity/Q1850416>	Museu Nacional
<http://www.wikidata.org/entity/Q478258>	Caltagirone
<http://www.wikidata.org/entity/Q100041>	Carpi
<http://www.wikidata.org/entity/Q215617>	Sleeping Beauty
<http://www.wikidata.org/entity/Q366574>	Adrano
<http://www.wikidata.org/entity/Q639444>	Dunning–Kruger effect
<http://www.wikidata.org/entity/Q558836>	Ruy Ramos
<http://www.wikidata.org/entity/Q11230>	Windows Vista
<http://www.wikidata.org/entity/Q219373>	Elizabeth Banks
<http://www.wikidata.org/entity/Q20381>	Cannara
<http://www.wikidata.org/entity/Q487268>	Candelaria
<http://www.wikidata.org/entity/Q735516>	179
<http://www.wikidata.org/entity/Q735416>	181
<http://www.wikidata.org/entity/Q735472>	191
<http://www.wikidata.org/entity/Q746386>	193
<http://www.wikidata.org/entity/Q720727>	197
<http://www.wikidata.org/entity/Q610117>	199
<http://www.wikidata.org/entity/Q15270>	Kingisepp
<http://www.wikidata.org/entity/Q52078>	Civitella in Val di Chiana
<http://www.wikidata.org/entity/Q52086>	Monte San Savino
<http://www.wikidata.org/entity/Q215164>	Sorano
<http://www.wikidata.org/entity/Q10585>	Ben Foster
<http://www.wikidata.org/entity/Q52066>	Bibbiena
<http://www.wikidata.org/entity/Q91160>	Cetona
<http://www.wikidata.org/entity/Q78516>	Anna Netrebko
<http://www.wikidata.org/entity/Q91185>	Chiusi
<http://www.wikidata.org/entity/Q211318>	Pitsunda
<http://www.wikidata.org/entity/Q244324>	Guadix
<http://www.wikidata.org/entity/Q72738>	Rana
<http://www.wikidata.org/entity/Q192640>	Dejan Stanković
<http://www.wikidata.org/entity/Q257548>	Dragan Stojković
<http://www.wikidata.org/entity/Q46001>	Alushta
<http://www.wikidata.org/entity/Q448047>	Alupka
<http://www.wikidata.org/entity/Q152354>	Hans-Jörg Butt
<http://www.wikidata.org/entity/Q10302>	Sestriere
<http://www.wikidata.org/entity/Q243242>	Bufo viridis
<http://www.wikidata.org/entity/Q152984>	Christoph Metzelder
<http://www.wikidata.org/entity/Q19210>	Caraglio
<http://www.wikidata.org/entity/Q94797>	Grand Theft Auto IV
<http://www.wikidata.org/entity/Q160808>	Clemens Fritz
<http://www.wikidata.org/entity/Q488335>	Kevin Michael Richardson
<http://www.wikidata.org/entity/Q63045>	Pistacia terebinthus
<http://www.wikidata.org/entity/Q192237>	Ghadames
<http://www.wikidata.org/entity/Q101418>	Lobamba
<http://www.wikidata.org/entity/Q190910>	Ice Age: The Meltdown
<http://www.wikidata.org/entity/Q3949>	Unna
<http://www.wikidata.org/entity/Q48011>	Caldogno
<http://www.wikidata.org/entity/Q212921>	Ioannina Regional Unit
<http://www.wikidata.org/entity/Q578879>	Larissa Prefecture
<http://www.wikidata.org/entity/Q657360>	Vicente del Bosque
<http://www.wikidata.org/entity/Q214281>	Siberian Jay
<http://www.wikidata.org/entity/Q49651>	Triesenberg
<http://www.wikidata.org/entity/Q383129>	Yasuj
<http://www.wikidata.org/entity/Q188022>	Mardin
<http://www.wikidata.org/entity/Q188035>	Apocalypto
<http://www.wikidata.org/entity/Q69893>	2006 Formula One season
<http://www.wikidata.org/entity/Q333559>	Granville
<http://www.wikidata.org/entity/Q152456>	Munich
<http://www.wikidata.org/entity/Q168866>	Eskişehir
<http://www.wikidata.org/entity/Q214259>	Kim Kyu-sik
<http://www.wikidata.org/entity/Q592747>	Las Rozas de Madrid
<http://www.wikidata.org/entity/Q104232>	Achinsk
<http://www.wikidata.org/entity/Q445772>	Nikolaj Coster-Waldau
<http://www.wikidata.org/entity/Q103212>	Alapayevsk
<http://www.wikidata.org/entity/Q191060>	Manuel Zelaya
<http://www.wikidata.org/entity/Q80686>	Haplogroup
<http://www.wikidata.org/entity/Q21187>	Drosera rotundifolia
<http://www.wikidata.org/entity/Q295739>	Johnny Galecki
<http://www.wikidata.org/entity/Q191848>	Khalid Boulahrouz
<http://www.wikidata.org/entity/Q243125>	Lincoln Sea
<http://www.wikidata.org/entity/Q103406>	Alexandrovsk-Sakhalinsky
<http://www.wikidata.org/entity/Q187036>	European pond turtle
<http://www.wikidata.org/entity/Q219330>	Pietrasanta
<http://www.wikidata.org/entity/Q185066>	Cholet
<http://www.wikidata.org/entity/Q215936>	Defense of the Ancients
<http://www.wikidata.org/entity/Q206073>	Ukrainian Premier League
<http://www.wikidata.org/entity/Q7780449>	Preveza Prefecture
<http://www.wikidata.org/entity/Q15322>	Luga
<http://www.wikidata.org/entity/Q3868>	Copiapó
<http://www.wikidata.org/entity/Q191885>	Thiago Motta
<http://www.wikidata.org/entity/Q173399>	Ellen Page
<http://www.wikidata.org/entity/Q392365>	Vlkolínec
<http://www.wikidata.org/entity/Q460756>	Maya Plisetskaya
<http://www.wikidata.org/entity/Q207873>	Mary Elizabeth Winstead
<http://www.wikidata.org/entity/Q51826>	Corato
<http://www.wikidata.org/entity/Q193798>	Silybum marianum
<http://www.wikidata.org/entity/Q13710>	Mirabilis jalapa
<http://www.wikidata.org/entity/Q331584>	Kralendijk
<http://www.wikidata.org/entity/Q11979>	Unión Deportiva Las Palmas
<http://www.wikidata.org/entity/Q128217>	Sperlonga
<http://www.wikidata.org/entity/Q231058>	Shailene Woodley
<http://www.wikidata.org/entity/Q201879>	Dimitris Salpingidis
<http://www.wikidata.org/entity/Q134181>	Vyshny Volochyok
<http://www.wikidata.org/entity/Q19306>	Altamura
<http://www.wikidata.org/entity/Q324244>	Châteauneuf-Grasse
<http://www.wikidata.org/entity/Q147520>	Typha latifolia
<http://www.wikidata.org/entity/Q601>	Haumea
<http://www.wikidata.org/entity/Q20439>	Fossato di Vico
<http://www.wikidata.org/entity/Q187696>	Vimercate
<http://www.wikidata.org/entity/Q455854>	Reuven Rivlin
<http://www.wikidata.org/entity/Q156227>	Nyctaginaceae
<http://www.wikidata.org/entity/Q210108>	BirdLife International
<http://www.wikidata.org/entity/Q80737>	Campora
<http://www.wikidata.org/entity/Q19278>	Bitonto
<http://www.wikidata.org/entity/Q18402>	La Strada
<http://www.wikidata.org/entity/Q176901>	Common pipistrelle
<http://www.wikidata.org/entity/Q737413>	Greater Horseshoe Bat
<http://www.wikidata.org/entity/Q335548>	Mbeya
<http://www.wikidata.org/entity/Q485196>	Lassana Diarra
<http://www.wikidata.org/entity/Q604>	Makemake
