<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p26769>	hyppyherätys
<http://www.yso.fi/onto/yso/p28902>	metamaterial
<http://www.yso.fi/onto/yso/p10614>	köpcentra
<http://www.yso.fi/onto/yso/p1747>	egyptologer
<http://www.yso.fi/onto/yso/p19989>	fantasilekar
<http://www.yso.fi/onto/yso/p8701>	vindar (utrymmen)
<http://www.yso.fi/onto/yso/p165679>	Pécs
<http://www.yso.fi/onto/yso/p126698>	Wiek
<http://www.yso.fi/onto/yso/p18453>	Huovila gård
<http://www.yso.fi/onto/yso/p4978>	ungrenässansen
<http://www.yso.fi/onto/yso/p20037>	distansgymnasium
<http://www.yso.fi/onto/yso/p27340>	periodarbete
<http://www.yso.fi/onto/yso/p24804>	lantbrukstidningar
<http://www.yso.fi/onto/yso/p21466>	kommunhus
<http://www.yso.fi/onto/yso/p28502>	sommarkläder
<http://www.yso.fi/onto/yso/p167655>	Karsikas (Haapavesi)
<http://www.yso.fi/onto/yso/p18091>	bevakningsföretag
<http://www.yso.fi/onto/yso/p111834>	Palonurmi (Nilsiä)
<http://www.yso.fi/onto/yso/p163356>	Vanhakylä (Kivinebb)
<http://www.yso.fi/onto/yso/p13090>	fröproduktion
<http://www.yso.fi/onto/yso/p212695>	Sahloinen (Jämsä)
<http://www.yso.fi/onto/yso/p108003>	Kollaa (Suistamo)
<http://www.yso.fi/onto/yso/p10114>	bagare
<http://www.yso.fi/onto/yso/p6641>	matstrupscancer
<http://www.yso.fi/onto/yso/p20337>	Advanced International Certificate of Education
<http://www.yso.fi/onto/yso/p19660>	internationell jämförelse
<http://www.yso.fi/onto/yso/p26143>	evenker
<http://www.yso.fi/onto/yso/p29068>	flytande naturgas
<http://www.yso.fi/onto/yso/p8057>	akrobater
<http://www.yso.fi/onto/yso/p28629>	relativ fattigdom
<http://www.yso.fi/onto/yso/p3346>	deltagande teater
<http://www.yso.fi/onto/yso/p3905>	soliditet
<http://www.yso.fi/onto/yso/p9116>	arbetsstudier
<http://www.yso.fi/onto/yso/p3818>	ytbeläggning (ytbehandling)
<http://www.yso.fi/onto/yso/p14972>	screening
<http://www.yso.fi/onto/yso/p28747>	ämbetsbevis
<http://www.yso.fi/onto/yso/p12877>	grupper av likställda
<http://www.yso.fi/onto/yso/p5098>	odling
<http://www.yso.fi/onto/yso/p25292>	Turingtestet
<http://www.yso.fi/onto/yso/p8561>	bostadshushåll
<http://www.yso.fi/onto/yso/p15566>	brandy
<http://www.yso.fi/onto/yso/p26825>	sockenråd
<http://www.yso.fi/onto/yso/p113339>	Omenajärvi
<http://www.yso.fi/onto/yso/p24866>	ortopedisk manuell terapi
<http://www.yso.fi/onto/yso/p109952>	Raholanvaara (Juga)
<http://www.yso.fi/onto/yso/p7292>	neuronnät
<http://www.yso.fi/onto/yso/p12032>	transportteknik
<http://www.yso.fi/onto/yso/p27467>	RFID
<http://www.yso.fi/onto/yso/p10355>	Moisio gård (Kouvola)
<http://www.yso.fi/onto/yso/p16545>	orgelharmonium
<http://www.yso.fi/onto/yso/p3273>	Gamla Akademihuset i Åbo
<http://www.yso.fi/onto/yso/p24433>	överhettning
<http://www.yso.fi/onto/yso/p24915>	skogsodling
<http://www.yso.fi/onto/yso/p21462>	pyrenéerhund
<http://www.yso.fi/onto/yso/p26447>	klädställ
<http://www.yso.fi/onto/yso/p2583>	dagklubbar
<http://www.yso.fi/onto/yso/p38037>	fotonik
<http://www.yso.fi/onto/yso/p24211>	funktionell magnetröntgen
<http://www.yso.fi/onto/yso/p23639>	relativpronomen
<http://www.yso.fi/onto/yso/p16064>	sjöbevakningssektioner
<http://www.yso.fi/onto/yso/p199611>	Vermont
<http://www.yso.fi/onto/yso/p20558>	osteogenesis imperfecta
<http://www.yso.fi/onto/yso/p4014>	trastar
<http://www.yso.fi/onto/yso/p13912>	svartfläckig blåvinge
<http://www.yso.fi/onto/yso/p2195>	assyriologi
<http://www.yso.fi/onto/yso/p15505>	vetenskapliga samfund
<http://www.yso.fi/onto/yso/p4660>	förskämning
<http://www.yso.fi/onto/yso/p9701>	förutsägbarhet
<http://www.yso.fi/onto/yso/p150278>	Azorerna
<http://www.yso.fi/onto/yso/p18404>	fagottister
<http://www.yso.fi/onto/yso/p4298>	regionarkitekter
<http://www.yso.fi/onto/yso/p7697>	behaviorism
<http://www.yso.fi/onto/yso/p9360>	mansperspektiv
<http://www.yso.fi/onto/yso/p5618>	lobbying
<http://www.yso.fi/onto/yso/p111842>	Kumo älvdal
<http://www.yso.fi/onto/yso/p21577>	malariamyggor
<http://www.yso.fi/onto/yso/p2547>	cricket
<http://www.yso.fi/onto/yso/p18349>	VTLS
<http://www.yso.fi/onto/yso/p17161>	kunskapsbaserade system
<http://www.yso.fi/onto/yso/p8172>	käke
<http://www.yso.fi/onto/yso/p26622>	mahognyväxter
<http://www.yso.fi/onto/yso/p2620>	det heliga
<http://www.yso.fi/onto/yso/p2216>	snoddar
<http://www.yso.fi/onto/yso/p25847>	sinande
<http://www.yso.fi/onto/yso/p13063>	tjärhandel
<http://www.yso.fi/onto/yso/p23935>	Chabad-Lubavitch
<http://www.yso.fi/onto/yso/p1631>	språkvetenskap
<http://www.yso.fi/onto/yso/p29203>	jakutisk litteratur
<http://www.yso.fi/onto/yso/p6686>	Women for Sobriety
<http://www.yso.fi/onto/yso/p149322>	Pyrenéerna
<http://www.yso.fi/onto/yso/p24434>	socialt företagande
<http://www.yso.fi/onto/yso/p4250>	sjukhusavdelningar
<http://www.yso.fi/onto/yso/p139907>	Ventspils
<http://www.yso.fi/onto/yso/p27595>	landskapsåkrar
<http://www.yso.fi/onto/yso/p27824>	japansk encefalit
<http://www.yso.fi/onto/yso/p27659>	luftgitarr
<http://www.yso.fi/onto/yso/p29242>	Kalevakyrkan
<http://www.yso.fi/onto/yso/p29866>	musiktävlingar i instrumentalspel
<http://www.yso.fi/onto/yso/p36>	kommunikation
<http://www.yso.fi/onto/yso/p115958>	Siironjoki
<http://www.yso.fi/onto/yso/p219698>	Niinimäki (Kouvola)
<http://www.yso.fi/onto/yso/p26314>	kamassiska
<http://www.yso.fi/onto/yso/p125937>	Koivujärvi (Pielavesi)
<http://www.yso.fi/onto/yso/p23487>	interpersonell psykoterapi
<http://www.yso.fi/onto/yso/p6214>	marknadspengar
<http://www.yso.fi/onto/yso/p22750>	arkitekturfostran
<http://www.yso.fi/onto/yso/p28961>	långfotad murkla
<http://www.yso.fi/onto/yso/p183314>	Etrurien
<http://www.yso.fi/onto/yso/p13047>	sjökort
<http://www.yso.fi/onto/yso/p105366>	Jäskis
<http://www.yso.fi/onto/yso/p21664>	relevansteori
<http://www.yso.fi/onto/yso/p1656>	multifunktionalitet
<http://www.yso.fi/onto/yso/p24957>	Finlandialoppet
<http://www.yso.fi/onto/yso/p4784>	organisationsdemokrati
<http://www.yso.fi/onto/yso/p14870>	utlänningslag
<http://www.yso.fi/onto/yso/p4910>	fartyg under bekvämlighetsflagg
<http://www.yso.fi/onto/yso/p1489>	märkesvaror
<http://www.yso.fi/onto/yso/p16900>	VSB-avtalet
<http://www.yso.fi/onto/yso/p21501>	big bang
<http://www.yso.fi/onto/yso/p4487>	rationalitet
<http://www.yso.fi/onto/yso/p9849>	träbåtar
<http://www.yso.fi/onto/yso/p23745>	funktionell lingvistik
<http://www.yso.fi/onto/yso/p12143>	kriminalfilmer
<http://www.yso.fi/onto/yso/p27734>	vassleproteiner
<http://www.yso.fi/onto/yso/p26037>	baroner
<http://www.yso.fi/onto/yso/p26488>	lönestöd
<http://www.yso.fi/onto/yso/p11521>	tullförbrytelser
<http://www.yso.fi/onto/yso/p143541>	Veneto
<http://www.yso.fi/onto/yso/p580>	offerplatser
<http://www.yso.fi/onto/yso/p17773>	folkliga berättare
<http://www.yso.fi/onto/yso/p202491>	Varisniemi (Paltamo)
<http://www.yso.fi/onto/yso/p11126>	fredsbevarande styrkor
<http://www.yso.fi/onto/yso/p15715>	religionspedagogik
<http://www.yso.fi/onto/yso/p23709>	nybörjare
<http://www.yso.fi/onto/yso/p4008>	bål (kroppen)
<http://www.yso.fi/onto/yso/p105396>	Haapajärvi (Evijärvi)
<http://www.yso.fi/onto/yso/p117778>	Kairala (Pelkosenniemi)
<http://www.yso.fi/onto/yso/p24261>	hasch
<http://www.yso.fi/onto/yso/p21853>	MP3
<http://www.yso.fi/onto/yso/p17869>	motsvarande
<http://www.yso.fi/onto/yso/p18023>	bergviol
<http://www.yso.fi/onto/yso/p154145>	Untamala (Ylistaro)
<http://www.yso.fi/onto/yso/p27114>	spondyliter
<http://www.yso.fi/onto/yso/p16391>	kränkningar av mänskliga rättigheter
<http://www.yso.fi/onto/yso/p1717>	ljudmiljö
<http://www.yso.fi/onto/yso/p155160>	Jussila (Nykarleby)
<http://www.yso.fi/onto/yso/p18086>	internationell handelsrätt
<http://www.yso.fi/onto/yso/p105510>	El Salvador
<http://www.yso.fi/onto/yso/p20687>	influensa A-virus
<http://www.yso.fi/onto/yso/p194436>	Torp (Eckerö)
<http://www.yso.fi/onto/yso/p24948>	direktivarter
<http://www.yso.fi/onto/yso/p185113>	Hanhijoki (Lavia)
<http://www.yso.fi/onto/yso/p12377>	techno
<http://www.yso.fi/onto/yso/p2412>	feber
<http://www.yso.fi/onto/yso/p94499>	Ylivieska
<http://www.yso.fi/onto/yso/p28096>	strukturell arbetslöshet
<http://www.yso.fi/onto/yso/p29666>	markandning
<http://www.yso.fi/onto/yso/p38005>	akustisk basgitarr
<http://www.yso.fi/onto/yso/p19006>	lokal-tv
<http://www.yso.fi/onto/yso/p12546>	löneadministration
<http://www.yso.fi/onto/yso/p11671>	betong
<http://www.yso.fi/onto/yso/p15486>	bly
<http://www.yso.fi/onto/yso/p24491>	arbetsintervjuer
<http://www.yso.fi/onto/yso/p23469>	rotinat
<http://www.yso.fi/onto/yso/p14854>	småbröd
<http://www.yso.fi/onto/yso/p112874>	Paakkala (Säkkijärvi)
<http://www.yso.fi/onto/yso/p8060>	synagogor
<http://www.yso.fi/onto/yso/p6207>	unga familjer
<http://www.yso.fi/onto/yso/p17974>	oljeraffinaderier
<http://www.yso.fi/onto/yso/p5281>	utlandsfinländare
<http://www.yso.fi/onto/yso/p9095>	polypdjur
<http://www.yso.fi/onto/yso/p4925>	mjölkningsstationer
<http://www.yso.fi/onto/yso/p5467>	fängelsepräster
<http://www.yso.fi/onto/yso/p3025>	kikare
<http://www.yso.fi/onto/yso/p94301>	Mänttä
<http://www.yso.fi/onto/yso/p18628>	kandidater i hälsovetenskaper
<http://www.yso.fi/onto/yso/p37982>	onomatopoesi
<http://www.yso.fi/onto/yso/p15732>	örtväxter
<http://www.yso.fi/onto/yso/p14723>	Dödahavsrullarna
<http://www.yso.fi/onto/yso/p13061>	vägbelysning
<http://www.yso.fi/onto/yso/p108587>	Helsinge socken
<http://www.yso.fi/onto/yso/p27563>	näsdukar
<http://www.yso.fi/onto/yso/p26423>	gruppintervjuer
<http://www.yso.fi/onto/yso/p11572>	tekniska institut
<http://www.yso.fi/onto/yso/p10791>	vattenräddning
<http://www.yso.fi/onto/yso/p28786>	småknäppare
<http://www.yso.fi/onto/yso/p17916>	sodaörtssläktet
<http://www.yso.fi/onto/yso/p20481>	landskapsgeografi
<http://www.yso.fi/onto/yso/p38256>	nikotinprodukter
<http://www.yso.fi/onto/yso/p8365>	indikatorer
<http://www.yso.fi/onto/yso/p6366>	satellitfotografering och -filmning
<http://www.yso.fi/onto/yso/p14041>	prestationsförmåga
<http://www.yso.fi/onto/yso/p27010>	pro gradu-avhandlingar
<http://www.yso.fi/onto/yso/p4012>	åldersstadier
<http://www.yso.fi/onto/yso/p172725>	Haavisto (Jämsä)
<http://www.yso.fi/onto/yso/p24630>	sökmotoroptimering
<http://www.yso.fi/onto/yso/p17221>	isklättring
<http://www.yso.fi/onto/yso/p26334>	företagsansvar
<http://www.yso.fi/onto/yso/p9557>	gems
<http://www.yso.fi/onto/yso/p22705>	naturfilmer
<http://www.yso.fi/onto/yso/p18747>	symaskiner
<http://www.yso.fi/onto/yso/p988>	undervisningsmetoder
<http://www.yso.fi/onto/yso/p25931>	grönt
<http://www.yso.fi/onto/yso/p16864>	traumatisk stressreaktion
<http://www.yso.fi/onto/yso/p21519>	Varga-Neményi-metoden
<http://www.yso.fi/onto/yso/p109383>	Öllölä (Tuupovaara)
<http://www.yso.fi/onto/yso/p105956>	Lehtoniemi (Varkaus)
<http://www.yso.fi/onto/yso/p24848>	Hyvinge kyrka
<http://www.yso.fi/onto/yso/p22784>	trombolys
<http://www.yso.fi/onto/yso/p8267>	röstigenkänning
<http://www.yso.fi/onto/yso/p19737>	slakt
<http://www.yso.fi/onto/yso/p6587>	procenträkning
<http://www.yso.fi/onto/yso/p4544>	mikrohistoria
<http://www.yso.fi/onto/yso/p18806>	hotellbranschen
<http://www.yso.fi/onto/yso/p197843>	Korsbäck (Korsnäs)
<http://www.yso.fi/onto/yso/p24985>	ringbrunnar
<http://www.yso.fi/onto/yso/p12736>	gymnasister
<http://www.yso.fi/onto/yso/p12935>	Funet
<http://www.yso.fi/onto/yso/p8042>	brevklubbar
<http://www.yso.fi/onto/yso/p10594>	varningar
<http://www.yso.fi/onto/yso/p10579>	anställningsförhållande
<http://www.yso.fi/onto/yso/p5764>	operationalism
<http://www.yso.fi/onto/yso/p28798>	kringbyggda gårdar
<http://www.yso.fi/onto/yso/p14224>	kommunikationsförvaltning
<http://www.yso.fi/onto/yso/p29297>	azerbajdzjansk litteratur
<http://www.yso.fi/onto/yso/p19477>	järnvägsbyggnad
<http://www.yso.fi/onto/yso/p6721>	lånord
<http://www.yso.fi/onto/yso/p323>	acetylkolin
<http://www.yso.fi/onto/yso/p27598>	SUMO-1-protein
<http://www.yso.fi/onto/yso/p27308>	textilavfall
<http://www.yso.fi/onto/yso/p28129>	galaktiska haloer
<http://www.yso.fi/onto/yso/p166496>	Ravenna
<http://www.yso.fi/onto/yso/p345>	fiskeplatser
<http://www.yso.fi/onto/yso/p19942>	datum
<http://www.yso.fi/onto/yso/p23412>	efterbehandling
<http://www.yso.fi/onto/yso/p19410>	heterogenitet
<http://www.yso.fi/onto/yso/p409>	släkter
<http://www.yso.fi/onto/yso/p26305>	borgerlighet
<http://www.yso.fi/onto/yso/p10399>	nonaggressionspakter
<http://www.yso.fi/onto/yso/p10339>	tolteker
<http://www.yso.fi/onto/yso/p20753>	familjemord
<http://www.yso.fi/onto/yso/p143576>	Oulunkaari ekonomiska region
<http://www.yso.fi/onto/yso/p29901>	house
<http://www.yso.fi/onto/yso/p20151>	matematisk geografi
<http://www.yso.fi/onto/yso/p16740>	språkfel
<http://www.yso.fi/onto/yso/p108110>	Nya Guinea
<http://www.yso.fi/onto/yso/p21232>	användarnamn
<http://www.yso.fi/onto/yso/p11793>	bildbarhet
<http://www.yso.fi/onto/yso/p19240>	tävlingscyklar
<http://www.yso.fi/onto/yso/p27476>	inkasserare
<http://www.yso.fi/onto/yso/p4924>	horn
<http://www.yso.fi/onto/yso/p8168>	justitiekanslerer
<http://www.yso.fi/onto/yso/p17259>	justitieråd
<http://www.yso.fi/onto/yso/p15228>	gravering
<http://www.yso.fi/onto/yso/p109401>	Vuoskojärvi
<http://www.yso.fi/onto/yso/p22885>	ungdomslag
<http://www.yso.fi/onto/yso/p27660>	hemangiosarkom
<http://www.yso.fi/onto/yso/p7735>	extrapolation
<http://www.yso.fi/onto/yso/p27815>	subwoofrar
<http://www.yso.fi/onto/yso/p24506>	villfarelser
<http://www.yso.fi/onto/yso/p30008>	fandangor (kompositioner)
<http://www.yso.fi/onto/yso/p1346>	terminologi
<http://www.yso.fi/onto/yso/p831>	Toivonoja gård
<http://www.yso.fi/onto/yso/p226862>	Lavangen
<http://www.yso.fi/onto/yso/p24644>	dikter
<http://www.yso.fi/onto/yso/p9530>	aminosyror
<http://www.yso.fi/onto/yso/p29958>	melodika
<http://www.yso.fi/onto/yso/p110510>	Yukon
<http://www.yso.fi/onto/yso/p26071>	teleportering
<http://www.yso.fi/onto/yso/p11124>	filmbranschen
<http://www.yso.fi/onto/yso/p159781>	Jylhänmaa (Vittis)
<http://www.yso.fi/onto/yso/p26749>	förmånstagare
<http://www.yso.fi/onto/yso/p1259>	sångpedagoger
<http://www.yso.fi/onto/yso/p18301>	kontorsanställda
<http://www.yso.fi/onto/yso/p18882>	studiecentraler
<http://www.yso.fi/onto/yso/p7085>	hemservice
<http://www.yso.fi/onto/yso/p186112>	Paistjärvi (Heinola)
<http://www.yso.fi/onto/yso/p1057>	entiteter (filosofi)
<http://www.yso.fi/onto/yso/p26606>	söljebälten
<http://www.yso.fi/onto/yso/p107723>	Texas
<http://www.yso.fi/onto/yso/p6537>	dricksvatten
<http://www.yso.fi/onto/yso/p506496>	Girona
<http://www.yso.fi/onto/yso/p9845>	tvillingar
<http://www.yso.fi/onto/yso/p5388>	försummelse
<http://www.yso.fi/onto/yso/p197830>	Särkijärvi (Kurkijoki)
<http://www.yso.fi/onto/yso/p14950>	utrikestrafik
<http://www.yso.fi/onto/yso/p20710>	trombin
<http://www.yso.fi/onto/yso/p30136>	canzoner
<http://www.yso.fi/onto/yso/p1208>	ryssar
<http://www.yso.fi/onto/yso/p5354>	körundervisning
<http://www.yso.fi/onto/yso/p2009>	prestationslön
<http://www.yso.fi/onto/yso/p19347>	köksinredningar
<http://www.yso.fi/onto/yso/p105023>	Japan
<http://www.yso.fi/onto/yso/p2736>	medborgarskap
<http://www.yso.fi/onto/yso/p7300>	näringsstruktur
<http://www.yso.fi/onto/yso/p10858>	vattenbehandling
<http://www.yso.fi/onto/yso/p28317>	lagerväxter
<http://www.yso.fi/onto/yso/p7385>	folklorism
<http://www.yso.fi/onto/yso/p264>	områden formade av naturen
<http://www.yso.fi/onto/yso/p106662>	Hogland
<http://www.yso.fi/onto/yso/p15437>	strimmig skunk
<http://www.yso.fi/onto/yso/p21176>	jämthund
<http://www.yso.fi/onto/yso/p23515>	museibåtar
<http://www.yso.fi/onto/yso/p25466>	historiemedvetande
<http://www.yso.fi/onto/yso/p16088>	kognitiv terapi
<http://www.yso.fi/onto/yso/p5627>	ensamförsörjare
<http://www.yso.fi/onto/yso/p3446>	penningspel
<http://www.yso.fi/onto/yso/p25479>	kompensationsavgifter
<http://www.yso.fi/onto/yso/p1607>	kryptest
<http://www.yso.fi/onto/yso/p8183>	kvantitativ analys
<http://www.yso.fi/onto/yso/p164551>	Jalkala (Kivinebb)
<http://www.yso.fi/onto/yso/p11884>	Litokaira
<http://www.yso.fi/onto/yso/p5168>	etnocentrism
<http://www.yso.fi/onto/yso/p16565>	silar
<http://www.yso.fi/onto/yso/p27582>	compassionfokuserad terapi
<http://www.yso.fi/onto/yso/p7587>	Östra Finska vikens nationalpark
<http://www.yso.fi/onto/yso/p9299>	vegetativ förökning
<http://www.yso.fi/onto/yso/p9093>	ramar
<http://www.yso.fi/onto/yso/p185>	elledningar
<http://www.yso.fi/onto/yso/p23315>	näs
<http://www.yso.fi/onto/yso/p506664>	Ring I
<http://www.yso.fi/onto/yso/p19832>	skrynkling
<http://www.yso.fi/onto/yso/p22929>	ontologier (informationshantering)
<http://www.yso.fi/onto/yso/p105171>	Limingo
<http://www.yso.fi/onto/yso/p210063>	Tomasby (Tusby)
<http://www.yso.fi/onto/yso/p11661>	religiösa tidningar
<http://www.yso.fi/onto/yso/p28563>	julturism
<http://www.yso.fi/onto/yso/p27397>	turismgeografi
<http://www.yso.fi/onto/yso/p18979>	bahai
<http://www.yso.fi/onto/yso/p9528>	DOS
<http://www.yso.fi/onto/yso/p1912>	regi
<http://www.yso.fi/onto/yso/p21270>	politisk instabilitet
<http://www.yso.fi/onto/yso/p4222>	varningsanordningar
<http://www.yso.fi/onto/yso/p6362>	mannens ställning
<http://www.yso.fi/onto/yso/p25460>	kundaliniyoga
<http://www.yso.fi/onto/yso/p22276>	sävbestånd
<http://www.yso.fi/onto/yso/p22634>	Bullerås
<http://www.yso.fi/onto/yso/p201673>	Suomenselkä
<http://www.yso.fi/onto/yso/p94183>	Kaland
<http://www.yso.fi/onto/yso/p28167>	sextanter
<http://www.yso.fi/onto/yso/p4198>	licentiater
<http://www.yso.fi/onto/yso/p4279>	musiksmak
<http://www.yso.fi/onto/yso/p12206>	antikroppar
<http://www.yso.fi/onto/yso/p10468>	ordspråk
<http://www.yso.fi/onto/yso/p1578>	herbartianism
<http://www.yso.fi/onto/yso/p110374>	Raukka (Mietois)
<http://www.yso.fi/onto/yso/p22644>	konsumtionskultur
<http://www.yso.fi/onto/yso/p112259>	Hankavesi (Hankasalmi : sjö)
<http://www.yso.fi/onto/yso/p148029>	Peltola (Uleåborg)
<http://www.yso.fi/onto/yso/p119222>	Huistuppula (Johannes)
<http://www.yso.fi/onto/yso/p21673>	valpsjuka
<http://www.yso.fi/onto/yso/p199599>	Pyhäjärvi (Ulvsby)
<http://www.yso.fi/onto/yso/p28018>	läkemedelsberoende
<http://www.yso.fi/onto/yso/p37848>	godsmottagning
<http://www.yso.fi/onto/yso/p23011>	SAP Business One
<http://www.yso.fi/onto/yso/p8015>	Tekucad
<http://www.yso.fi/onto/yso/p14357>	ekologiskt boende
<http://www.yso.fi/onto/yso/p12750>	kråkbärsväxter
<http://www.yso.fi/onto/yso/p113308>	Kortepohja (Jyväskylä)
<http://www.yso.fi/onto/yso/p115779>	Hytermä
<http://www.yso.fi/onto/yso/p1508>	soldattorp
<http://www.yso.fi/onto/yso/p9142>	alkoholism
<http://www.yso.fi/onto/yso/p11952>	elektronisk konst
<http://www.yso.fi/onto/yso/p280>	lodning
<http://www.yso.fi/onto/yso/p23280>	cytomegalovirus
<http://www.yso.fi/onto/yso/p11888>	MCSE-examen
<http://www.yso.fi/onto/yso/p17945>	Saaris gård (Mäntsälä)
<http://www.yso.fi/onto/yso/p25379>	familjeforskning
<http://www.yso.fi/onto/yso/p26217>	fingermat (livsmedel)
<http://www.yso.fi/onto/yso/p205515>	Lombardiet
<http://www.yso.fi/onto/yso/p22137>	avverkningsmaskiner
<http://www.yso.fi/onto/yso/p15674>	social fobi
<http://www.yso.fi/onto/yso/p18977>	dialektord
<http://www.yso.fi/onto/yso/p13887>	blandningar
<http://www.yso.fi/onto/yso/p29417>	metamorfos (geologi)
<http://www.yso.fi/onto/yso/p17597>	organisationsbeteende
<http://www.yso.fi/onto/yso/p16550>	användare
<http://www.yso.fi/onto/yso/p18602>	rikkärr
<http://www.yso.fi/onto/yso/p6718>	Marjovuori naturskyddsområde
<http://www.yso.fi/onto/yso/p158115>	Puohtiinsuo
<http://www.yso.fi/onto/yso/p111890>	Alvajärvi
<http://www.yso.fi/onto/yso/p27019>	Koskis gård (Salo)
<http://www.yso.fi/onto/yso/p166195>	Washington (delstat)
<http://www.yso.fi/onto/yso/p25659>	navigatörer
<http://www.yso.fi/onto/yso/p11150>	skattebyråtjänstemän
<http://www.yso.fi/onto/yso/p2299>	tumörer
<http://www.yso.fi/onto/yso/p16659>	Turbo C++
<http://www.yso.fi/onto/yso/p6223>	Merkurius (planeter)
<http://www.yso.fi/onto/yso/p3714>	rättsprövning
<http://www.yso.fi/onto/yso/p14027>	religionsetnografi
<http://www.yso.fi/onto/yso/p25484>	vattenfotavtryck
<http://www.yso.fi/onto/yso/p3542>	sysselsättning (process)
<http://www.yso.fi/onto/yso/p15409>	kanonisk rätt
<http://www.yso.fi/onto/yso/p19479>	teaterpolitik
<http://www.yso.fi/onto/yso/p28924>	vismut
<http://www.yso.fi/onto/yso/p16847>	Oulun hiihdot
<http://www.yso.fi/onto/yso/p9640>	praxis
<http://www.yso.fi/onto/yso/p24159>	vristsmycken
<http://www.yso.fi/onto/yso/p7528>	trycksaker
<http://www.yso.fi/onto/yso/p105424>	Suonikylä (Petsamo)
<http://www.yso.fi/onto/yso/p2503>	hakkapeliter
<http://www.yso.fi/onto/yso/p12705>	regissörer
<http://www.yso.fi/onto/yso/p25247>	säkerhetskultur
<http://www.yso.fi/onto/yso/p14736>	ishockeyspelare
<http://www.yso.fi/onto/yso/p2088>	häxor
<http://www.yso.fi/onto/yso/p29314>	laotisk litteratur
<http://www.yso.fi/onto/yso/p22650>	RSS-flöden
<http://www.yso.fi/onto/yso/p13341>	kylapparater
<http://www.yso.fi/onto/yso/p2892>	arbetsmedicin
<http://www.yso.fi/onto/yso/p108198>	Vuokatti
<http://www.yso.fi/onto/yso/p123908>	Kätkäsuvanto (Muonio)
<http://www.yso.fi/onto/yso/p132516>	Vänern
<http://www.yso.fi/onto/yso/p7610>	Esboavtalet
<http://www.yso.fi/onto/yso/p505172>	Basra
<http://www.yso.fi/onto/yso/p13757>	ben (extremiteter)
<http://www.yso.fi/onto/yso/p10716>	grupprehabilitering
<http://www.yso.fi/onto/yso/p25832>	livsmedel för särskilda näringsändamål
<http://www.yso.fi/onto/yso/p19084>	propellrar
<http://www.yso.fi/onto/yso/p179661>	Helsingby (Korsholm)
<http://www.yso.fi/onto/yso/p6274>	rättsmedvetande
<http://www.yso.fi/onto/yso/p179663>	Inkee (Taivalkoski)
<http://www.yso.fi/onto/yso/p24946>	aerob kapacitet
<http://www.yso.fi/onto/yso/p7000>	vattenvärde
<http://www.yso.fi/onto/yso/p109192>	Nilakka
<http://www.yso.fi/onto/yso/p94221>	Korpo
<http://www.yso.fi/onto/yso/p28869>	vloggning
<http://www.yso.fi/onto/yso/p105926>	Marseille
<http://www.yso.fi/onto/yso/p16496>	trettioåriga kriget
<http://www.yso.fi/onto/yso/p1483>	fresker
<http://www.yso.fi/onto/yso/p28652>	lagersläktet
<http://www.yso.fi/onto/yso/p23486>	dvärgar
<http://www.yso.fi/onto/yso/p9202>	memma
<http://www.yso.fi/onto/yso/p22128>	trampoliner
<http://www.yso.fi/onto/yso/p18355>	inklusion
<http://www.yso.fi/onto/yso/p10527>	predestination
<http://www.yso.fi/onto/yso/p8777>	intresseorganisationer
<http://www.yso.fi/onto/yso/p14936>	dialysvård
<http://www.yso.fi/onto/yso/p116954>	British Columbia
<http://www.yso.fi/onto/yso/p193032>	Västbanken
<http://www.yso.fi/onto/yso/p27247>	motiverande samtal
<http://www.yso.fi/onto/yso/p28227>	människa-djurförhållande
<http://www.yso.fi/onto/yso/p18321>	skogsskydd (naturskydd)
<http://www.yso.fi/onto/yso/p105235>	Kenya
<http://www.yso.fi/onto/yso/p10770>	prishöjning
<http://www.yso.fi/onto/yso/p148839>	Svedjeholmen (Helsingfors)
<http://www.yso.fi/onto/yso/p18459>	kemalism
<http://www.yso.fi/onto/yso/p23989>	utomhusförsäljning
<http://www.yso.fi/onto/yso/p27998>	humant parechovirus
<http://www.yso.fi/onto/yso/p16795>	Järvenpään Puistoblues
<http://www.yso.fi/onto/yso/p19266>	elefantsköldpadda
<http://www.yso.fi/onto/yso/p174744>	Toksova
<http://www.yso.fi/onto/yso/p148041>	Alakylä (Kauhava)
<http://www.yso.fi/onto/yso/p11659>	skogsvårdsavgifter
<http://www.yso.fi/onto/yso/p139501>	Södermark (Norrmark)
<http://www.yso.fi/onto/yso/p20287>	histologi
<http://www.yso.fi/onto/yso/p15565>	konjak
<http://www.yso.fi/onto/yso/p12204>	handelshögskolor
<http://www.yso.fi/onto/yso/p26652>	beridet bågskytte
<http://www.yso.fi/onto/yso/p2686>	lossning (logistik)
<http://www.yso.fi/onto/yso/p8831>	arbetsmarknaden
<http://www.yso.fi/onto/yso/p18253>	språklig begåvning
<http://www.yso.fi/onto/yso/p11172>	Rysslandsbilden
<http://www.yso.fi/onto/yso/p11864>	jägare (jakt)
<http://www.yso.fi/onto/yso/p5380>	dimfrost
<http://www.yso.fi/onto/yso/p19169>	krigslagar
<http://www.yso.fi/onto/yso/p9645>	månar
